,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout,param_neurons1,param_neurons2,param_nro_capas,param_regulari,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9559494256973267,0.023738741874694824,0.007472395896911621,0.0005141496658325195,0,128,64,2,0.0001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.0001}",0.31142857670783997,0.29428571462631226,0.3028571456670761,0.008571431040763855,48
1,0.9175522327423096,0.17877817153930664,0.007956385612487793,0.0010181665420532227,0,128,64,2,0.001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.001}",0.37714284658432007,0.4028571546077728,0.39000000059604645,0.01285715401172638,36
2,1.2138663530349731,0.005176424980163574,0.008976578712463379,0.0009969472885131836,0,128,64,3,0.0001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.0001}",0.38857144117355347,0.3742857277393341,0.3814285844564438,0.00714285671710968,39
3,1.0406235456466675,0.06725609302520752,0.008480668067932129,0.0004903078079223633,0,128,64,3,0.001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.001}",0.36571428179740906,0.4285714328289032,0.39714285731315613,0.03142857551574707,33
4,0.8926700353622437,0.14655053615570068,0.008489251136779785,0.0005208253860473633,0,128,128,2,0.0001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.0001}",0.37714284658432007,0.508571445941925,0.44285714626312256,0.06571429967880249,15
5,0.9384586811065674,0.05588507652282715,0.008456945419311523,0.0005178451538085938,0,128,128,2,0.001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.001}",0.3571428656578064,0.5428571701049805,0.45000001788139343,0.09285715222358704,13
6,1.0762016773223877,0.10797524452209473,0.008990168571472168,0.000983595848083496,0,128,128,3,0.0001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.0001}",0.3742857277393341,0.41428571939468384,0.39428572356700897,0.019999995827674866,34
7,1.3745064735412598,0.02019953727722168,0.009946703910827637,0.0009821653366088867,0,128,128,3,0.001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.001}",0.3628571331501007,0.4000000059604645,0.3814285695552826,0.018571436405181885,40
8,0.953105092048645,0.12950432300567627,0.010000824928283691,0.001025080680847168,0,128,256,2,0.0001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.0001}",0.334285706281662,0.5799999833106995,0.4571428447961807,0.12285713851451875,12
9,0.9068949222564697,0.13492536544799805,0.008474469184875488,0.0004967451095581055,0,128,256,2,0.001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.001}",0.45428571105003357,0.3685714304447174,0.4114285707473755,0.04285714030265808,26
10,0.9990135431289673,0.06914770603179932,0.008956551551818848,1.9669532775878906e-05,0,128,256,3,0.0001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.0001}",0.41428571939468384,0.5257142782211304,0.4699999988079071,0.05571427941322327,11
11,1.3252596855163574,0.04065895080566406,0.009458303451538086,0.0015120506286621094,0,128,256,3,0.001,"{'dropout': 0, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.001}",0.3199999928474426,0.5428571701049805,0.43142858147621155,0.11142858862876892,19
12,1.1957684755325317,0.11108052730560303,0.009438753128051758,0.0004973411560058594,0,256,64,2,0.0001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.0001}",0.3742857277393341,0.6057142615318298,0.48999999463558197,0.11571426689624788,3
13,1.298190951347351,0.09870469570159912,0.00895833969116211,0.00101470947265625,0,256,64,2,0.001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.001}",0.3742857277393341,0.47428572177886963,0.42428572475910187,0.04999999701976776,21
14,1.3123464584350586,0.1716766357421875,0.008433938026428223,0.0005065202713012695,0,256,64,3,0.0001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.0001}",0.3685714304447174,0.5114285945892334,0.4400000125169754,0.071428582072258,16
15,1.5820149183273315,0.018566012382507324,0.009491801261901855,0.000516057014465332,0,256,64,3,0.001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.001}",0.3857142925262451,0.38285714387893677,0.38428571820259094,0.0014285743236541748,37
16,1.3812856674194336,0.07253670692443848,0.009468913078308105,0.0005031824111938477,0,256,128,2,0.0001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.0001}",0.4114285707473755,0.3942857086658478,0.40285713970661163,0.008571431040763855,29
17,1.1809428930282593,0.060529351234436035,0.009972810745239258,4.76837158203125e-07,0,256,128,2,0.001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.001}",0.5199999809265137,0.5,0.5099999904632568,0.009999990463256836,1
18,1.0361251831054688,0.20125794410705566,0.008460283279418945,0.0005156993865966797,0,256,128,3,0.0001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.0001}",0.3571428656578064,0.45428571105003357,0.40571428835392,0.048571422696113586,28
19,1.1009665727615356,0.25852978229522705,0.009481549263000488,0.0014885663986206055,0,256,128,3,0.001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.001}",0.36571428179740906,0.5857142806053162,0.4757142812013626,0.10999999940395357,9
20,0.983960747718811,0.20401442050933838,0.008958697319030762,1.6570091247558594e-05,0,256,256,2,0.0001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.0001}",0.4828571379184723,0.4828571379184723,0.4828571379184723,0.0,6
21,1.1533076763153076,0.03901076316833496,0.008443236351013184,0.000494837760925293,0,256,256,2,0.001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.001}",0.37142857909202576,0.4942857027053833,0.43285714089870453,0.06142856180667877,18
22,1.6382982730865479,0.3035399913787842,0.010489344596862793,0.0005153417587280273,0,256,256,3,0.0001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.0001}",0.4171428680419922,0.37142857909202576,0.39428572356700897,0.022857144474983215,34
23,1.9746670722961426,0.004522800445556641,0.008975505828857422,2.5510787963867188e-05,0,256,256,3,0.001,"{'dropout': 0, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.001}",0.3514285683631897,0.3571428656578064,0.35428571701049805,0.0028571486473083496,44
24,1.395287275314331,0.17726397514343262,0.008971571922302246,4.172325134277344e-06,0.5,128,64,2,0.0001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.0001}",0.3857142925262451,0.4399999976158142,0.41285714507102966,0.027142852544784546,25
25,0.9584044218063354,0.22043979167938232,0.008477568626403809,0.0004991292953491211,0.5,128,64,2,0.001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.001}",0.4228571355342865,0.5400000214576721,0.4814285784959793,0.05857144296169281,7
26,1.983557105064392,0.06350982189178467,0.009990572929382324,0.0009804964065551758,0.5,128,64,3,0.0001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.0001}",0.35428571701049805,0.26571428775787354,0.3100000023841858,0.044285714626312256,47
27,1.1406649351119995,0.3124960660934448,0.008476734161376953,0.0004987716674804688,0.5,128,64,3,0.001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.001}",0.3628571331501007,0.43714284896850586,0.3999999910593033,0.037142857909202576,31
28,1.5405513048171997,0.256259560585022,0.009474635124206543,0.0004991292953491211,0.5,128,128,2,0.0001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.0001}",0.38857144117355347,0.48571428656578064,0.43714286386966705,0.048571422696113586,17
29,1.0049083232879639,0.1705772876739502,0.008968830108642578,4.553794860839844e-05,0.5,128,128,2,0.001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.001}",0.4285714328289032,0.522857129573822,0.4757142812013626,0.04714284837245941,9
30,1.8170827627182007,0.42831313610076904,0.009476423263549805,0.0004966259002685547,0.5,128,128,3,0.0001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.0001}",0.34285715222358704,0.3857142925262451,0.3642857223749161,0.02142857015132904,43
31,1.6318416595458984,0.20425057411193848,0.00947415828704834,0.0004984140396118164,0.5,128,128,3,0.001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.001}",0.3199999928474426,0.37142857909202576,0.3457142859697342,0.025714293122291565,46
32,1.734938383102417,0.5214526653289795,0.0084916353225708,0.0004850625991821289,0.5,128,256,2,0.0001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.0001}",0.39142856001853943,0.45428571105003357,0.4228571355342865,0.03142857551574707,23
33,1.1200323104858398,0.13666510581970215,0.0104597806930542,0.0005124807357788086,0.5,128,256,2,0.001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.001}",0.5542857050895691,0.43142858147621155,0.4928571432828903,0.06142856180667877,2
34,1.3792625665664673,0.0250321626663208,0.008976340293884277,1.7881393432617188e-06,0.5,128,256,3,0.0001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.0001}",0.35428571701049805,0.35428571701049805,0.35428571701049805,0.0,44
35,1.966404676437378,0.134291410446167,0.008446931838989258,0.0004949569702148438,0.5,128,256,3,0.001,"{'dropout': 0.5, 'neurons1': 128, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.001}",0.3142857253551483,0.41999998688697815,0.36714285612106323,0.05285713076591492,42
36,1.4235020875930786,0.6205641031265259,0.00944221019744873,0.0005310773849487305,0.5,256,64,2,0.0001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.0001}",0.40857142210006714,0.45428571105003357,0.43142856657505035,0.022857144474983215,20
37,2.3263455629348755,0.2259300947189331,0.010471463203430176,0.0004981756210327148,0.5,256,64,2,0.001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 2, 'regulari': 0.001}",0.3628571331501007,0.43714284896850586,0.3999999910593033,0.037142857909202576,31
38,1.7805842161178589,0.0812309980392456,0.01144254207611084,0.000513911247253418,0.5,256,64,3,0.0001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.0001}",0.477142870426178,0.4942857027053833,0.48571428656578064,0.008571416139602661,5
39,1.247672438621521,0.33505213260650635,0.009474515914916992,0.0004980564117431641,0.5,256,64,3,0.001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 64, 'nro_capas': 3, 'regulari': 0.001}",0.41428571939468384,0.39142856001853943,0.40285713970661163,0.011428579688072205,29
40,1.8903148174285889,0.3944735527038574,0.009973406791687012,0.0009976625442504883,0.5,256,128,2,0.0001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.0001}",0.37142857909202576,0.477142870426178,0.42428572475910187,0.05285714566707611,21
41,1.1551227569580078,0.2904195785522461,0.008481740951538086,0.0004944801330566406,0.5,256,128,2,0.001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 2, 'regulari': 0.001}",0.48571428656578064,0.488571435213089,0.4871428608894348,0.0014285743236541748,4
42,2.04172146320343,0.4606438875198364,0.010449647903442383,0.0015130043029785156,0.5,256,128,3,0.0001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.0001}",0.3857142925262451,0.45428571105003357,0.42000000178813934,0.034285709261894226,24
43,2.693341612815857,1.1245383024215698,0.009461164474487305,0.0004773139953613281,0.5,256,128,3,0.001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 128, 'nro_capas': 3, 'regulari': 0.001}",0.41428571939468384,0.345714271068573,0.3799999952316284,0.03428572416305542,41
44,1.726074457168579,0.3552069664001465,0.009973883628845215,0.0009979009628295898,0.5,256,256,2,0.0001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.0001}",0.38285714387893677,0.38285714387893677,0.38285714387893677,0.0,38
45,1.566759705543518,0.09417784214019775,0.02815413475036621,0.020166635513305664,0.5,256,256,2,0.001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 2, 'regulari': 0.001}",0.4571428596973419,0.49714285135269165,0.4771428555250168,0.019999995827674866,8
46,3.7164764404296875,1.3551321029663086,0.010153055191040039,0.0008175373077392578,0.5,256,256,3,0.0001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.0001}",0.38285714387893677,0.4342857003211975,0.40857142210006714,0.02571427822113037,27
47,3.088521957397461,0.5689184665679932,0.010471701622009277,0.0014961957931518555,0.5,256,256,3,0.001,"{'dropout': 0.5, 'neurons1': 256, 'neurons2': 256, 'nro_capas': 3, 'regulari': 0.001}",0.522857129573822,0.36571428179740906,0.44428570568561554,0.07857142388820648,14
